Act c 5,4pmk
Act d 1,2act
Act d 11,4igv
Act d 2,4bct
Aed a 2,3dxl
Alt a 1,3v0r
Amb t 5,1bbg
Api g 1,2bk0
Api m 1,1poc
Api m 2,1fcq
Api m 4,2mlt
Ara h 1,3smh
Ara h 2,3ob4
Ara h 3,3c3v
Ara h 5,4esp
Ara h 6,1w2q
Ara h 8,4map
Arg r 1,2x45
Art v 1,2kpy
Asc s 13,4q5f
Asp f 1,1aqz
Asp f 11,2c3b
Asp f 6,1kkc
Asp o 21,6taa
Ber e 1,2lvf
Bet v 1,1bv1
Bet v 4,1h4b
Bla g 1,4jrb
Bla g 2,4rld
Bla g 4,3ebk
Bla g 5,4q5r
Blo t 12,2mfk
Blo t 19,2mfj
Blo t 21,2lm9
Blo t 5,2jmh
Blo t 8,4q5n
Bos d 2,1bj7
Bos d 4,1f6r
Bos d 5,1gx8
Bos d 6,3v03
Bra n 1,1pnb
Can f 2,3l4r
Can f 4,4odd
Car i 2,5e1r
Che a 3,2opo
Chi t 1,1eca
Cla h 8,3gdf
Cor a 8,4xuw
Cyp c 1,4cpv
Dau c 1,2wql
Der f 1,3d6s
Der f 13,2a0a
Der f 2,2f08
Der f 7,3uv1
Der p 1,3f5v
Der p 2,1ktj
Der p 5,3mq1
Der p 7,3h4z
Der p 8,4q5q
Der p 23, 4zce
Equ c 1,1ew3
Equ c 3,3v08
Fel d 1,1zkr
Fra a 1,2lpx
Gad m 1,2mbx
Gal d 2,1uhg
Gal d 3,1n04
Gal d 4,2lym
Gly m 4,2k7h
Gly m 5,1ipk
Gly m 6,1fxz
Hev b 2,4hpg
Hev b 6,1q9b
Hev b 8,1g5u
Jun a 1,1pxz
Mal d 1,5mmu
Mal d 2,3zs3
Mala s 1,2p9w
Mala s 13,2j23
Mala s 6,2cfe
Mus a 4,1z3q
Mus a 5,2cyg
Mus m 1,1mup
Ole e 6,1ss3
Ole e 9,2jon
Phl p 1,1n10
Phl p 2,1who
Phl p 4,3tsh
Phl p 5,1l3p
Phl p 6,1nlx
Phl p 7,1k9u
Pin k 2,4lej
Pis s 3,2n81
Pru av 2,2ahn
Pru d 6,3fz3
Pru p 3,2alg
Rat n 1,2a2g
Ric c 1,1psy
Sol i 2,2ygu
Sol i 3,2vzn
Tri a 14,1bwo
Tri a 18,4aml
Ves v 5,1qnx
Vig r 6,2flh
Zea m 1,2hcz
Zea m 14,1fk0
Zea m 8,4cmk