Alt a 1,True
Amb a 1,True
Ana o 3,True
Ara h 1,True
Ara h 2,True
Ara h 3,True
Ara h 6,True
Ara h 8,True
Ara h 9,True
Asp f 1,True
Asp r 1,True
Bet v 1,True
Bet v 2,True
Bla g 1,True
Bla g 2,True
Bla g 4,True
Bla g 5,True
Bos d 2,True
Bos d 4,True
Bos d 5,True
Bos d 6,True
Bos d 8,True
Can f 1,True
Can f 2,True
Can f 3,True
Cor a 1,True
Cor a 14,True
Cor a 9,True
Cry j 1,True
Der f 1,True
Der f 2,True
Der p 1,True
Der p 10,True
Der p 2,True
Der p 7,True
Eur m 2,True
Fel d 1,True
Fel d 1,True
Fel d 1,True
Fel d 2,True
Fel d 4,True
Gal d 1,True
Gal d 2,True
Gal d 4,True
Gly d 2,True
Gly m 4,True
Gly m 5,True
Lep d 2,True
Lol p 1,True
Mus m 1,True
Mus m 1,True
Ole e 1,True
Per a 7,True
Ph1 p 1,True
Pru p 3,True
Rat n 1,True
Rat n 1,True
Tyr p 2,True